Bandpass	Magnitude	Unc High	Unc Low	Unit	Frequency (Hz)	Flux Density	FD Unc High	FD Unc Low	Flux	F Unc High	F Unc Low	Telescope
FUV (GALEX) AB	13.83	0.01	0.01	mag	1960000004030460.0	0.01067	9.824E-05	9.824E-05	20913200043005.0	192550400395.952	192550400395.952	GALEX
NUV (GALEX) AB	14.12	0.01	0.01	mag	1319999950000000.0	0.008166	7.521E-05	7.521E-05	10779119591700.0	99277196239.5	99277196239.5	GALEX
u (SDSS) AB	13.37	0.05	0.05	mag	843999996805120.0	0.01629	0.0007499	0.0007499	13748759947955.4	632915597604.16	632915597604.16	2.5m
g (SDSS) AB	11.98	0.05	0.05	mag	639999988989952.0	0.05847	0.002693	0.002693	37420799356242.5	1723519970349.94	1723519970349.94	2.5m
r (SDSS) AB	11.88	0.05	0.05	mag	486000010723328.0	0.06412	0.002953	0.002953	31162320687579.8	1435158031665.99	1435158031665.99	2.5m
i (SDSS) AB	11.46	0.05	0.05	mag	400999990689792.0	0.09464	0.004358	0.004358	37950639118881.9	1747557959426.11	1747557959426.11	2.5m
z (SDSS) AB	11.36	0.05	0.05	mag	335999989186560.0	0.1036	0.00477	0.00477	34809598879727.6	1602719948419.89	1602719948419.89	2.5m
J (2MASS) AB	11.19	0.05	0.05	mag	243000005361664.0	0.1216	0.0056	0.0056	29548800651978.3	1360800030025.32	1360800030025.32	1.3m
H (2MASS) AB	11.06	0.05	0.05	mag	181999994142720.0	0.1364	0.006283	0.006283	24824799201067.0	1143505963198.71	1143505963198.71	1.3m
Ks (2MASS) AB	11.34	0.05	0.05	mag	138999997923328.0	0.106	0.004881	0.004881	14733999779872.8	678458989863.764	678458989863.764	1.3m
3.4 microns WISE AB	11.87	0.1	0.1	mag	89300003717120.0	0.06505	0.005991	0.005991	5808965241798.66	534996322269.266	534996322269.266	WISE
4.6 microns WISE AB	12.35	0.1	0.1	mag	65099997904896.0	0.04169	0.00384	0.00384	2714018912655.11	249983991954.801	249983991954.801	WISE
12 microns WISE AB	10.46	0.1	0.1	mag	25400000380928.0	0.2386	0.02197	0.02197	6060440090889.42	558038008368.988	558038008368.988	WISE
22 microns WISE AB	9.79	0.1	0.1	mag	13499999715328.0	0.4412	0.04063	0.04063	5956199874402.71	548504988433.777	548504988433.777	WISE
70 microns (MIPS)	8.83	1.77	1.77	Jy	4200000130000.0	8.83	1.77	1.77	37086001147900.0	7434000230100.0	7434000230100.0	Spitzer
100 microns (PACS)	19.5	1.0	1.0	Jy	3000000053248.0	19.5	1.0	1.0	58500001038336.0	3000000053248.0	3000000053248.0	Herschel
160 microns (MIPS)	18.3	3.69	3.69	Jy	1920000070000.0	18.3	3.69	3.69	35136001281000.0	7084800258300.0	7084800258300.0	Spitzer
250 microns (SPIRE)	9.79	0.7	0.7	Jy	1199999942656.0	9.79	0.7	0.7	11747999438602.2	839999959859.2	839999959859.2	Herschel
350 microns (SPIRE)	4.37	0.31	0.31	Jy	856999985152.0	4.37	0.31	0.31	3745089935114.24	265669995397.12	265669995397.12	Herschel
500 microns (SPIRE)	1.88	0.14	0.14	Jy	599999971328.0	1.88	0.14	0.14	1127999946096.64	83999995985.92	83999995985.92	Herschel